s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,0.0,-0.8184482311811985,94.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0,-0.8184482311811985,131.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,True,False,False,True,0.0,-0.8184482311811985,97.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,True,False,0.0,-0.5652658182380194,118.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,0.0,-0.8734918639447093,92.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,False,False,0.0,-0.8250605616479761,172.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,1.0,-0.8636974347591236,520.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,0.0,-0.8734918639447093,105.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,0.0,-0.8734918639447093,113.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,0.0,-0.8184482311811985,93.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,0.0,-0.8250605616479761,196.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,True,True,False,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,False,0.0,-0.8734918639447093,213.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,2.0,-0.9292358984378686,603.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,0.0,-0.8184482311811985,175.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True,True,0.0,-0.8250605616479761,115.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,True,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,1.0,-0.9030166977944039,383.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,True,False,False,False,0.0,-0.5557775018082439,142.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,0.0,-0.8734918639447093,93.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,0.0,-0.19560144287782588,194.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,True,False,False,False,0.0,-0.8184482311811985,163.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,False,0.0,-0.5557775018082439,159.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,True,False,True,True,1.0,-0.8610242152606223,331.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,2.0,-0.8781144241169215,628.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,0.0,-0.7985027289542492,149.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,0.0,-0.7985027289542492,167.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,1.0,-0.8380564534285007,185.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
