s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,timestamp
False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,-0.8869041526935046,382.0,703355.0,9
True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,8,-0.9424154173880834,1256.0,769958.0,9
False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,True,True,3,-0.8779335641124648,434.0,834192.0,9
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1,-0.8734918639447093,146.0,899412.0,10
True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1,-0.7951443329642743,160.0,964319.0,10
False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,13,-0.9308159517122624,2093.0,1032738.0,10
False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,True,False,1,-0.5557775018082439,134.0,1097122.0,10
True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14,-0.911589130205587,2167.0,1165309.0,11
False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,50,-0.915783867323569,7439.0,1228398.0,11
True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,1,-0.7951443329642743,116.0,1293275.0,11
True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,-0.8626315181258094,351.0,1358903.0,11
True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-0.8734918639447093,168.0,1425436.0,12
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2,-0.9068427630281948,365.0,1491207.0,12
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,6,-0.9062308588031868,807.0,1559275.0,12
False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,True,False,6,-0.9246431904836936,767.0,1621624.0,12
True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,8,-0.9388860021691244,1222.0,1689432.0,13
False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,4,-0.9302647103271996,672.0,1755791.0,13
False,True,True,False,True,False,False,True,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,8,-0.913177376644582,1254.0,1823260.0,13
False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,False,1,-0.8734918639447093,137.0,1887928.0,13
False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2,-0.8829175010168033,378.0,1953731.0,14
True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,18,-0.8675043946345935,2597.0,2020887.0,14
False,True,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,10,-0.9526074640164078,1360.0,2083936.0,14
False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.8184482311811985,154.0,2147487.0,14
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,43,-0.9264613521911246,6243.0,2215659.0,15
False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,True,1,-0.8250605616479761,155.0,2281553.0,15
False,True,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,43,-0.9161202350471432,6015.0,2349232.0,15
True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,8,-0.9183124132416918,1217.0,2417441.0,15
False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,6,-0.8866856560441018,730.0,2484586.0,16
True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,50,-0.8947936703730373,4819.0,2547132.0,16
True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,2,-0.9083489149627838,439.0,2614989.0,16
False,True,True,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,1,-0.8734918639447093,124.0,2680396.0,16
True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,3,-0.9428319338353736,496.0,2747768.0,17
True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,34,-0.8947860196056733,5063.0,2816402.0,17
True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,1,-0.7951443329642743,145.0,2883759.0,18
True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,3,-0.911961402130094,627.0,2950966.0,18
True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,False,True,False,False,False,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,3,-0.8399395624874899,557.0,3016881.0,18
True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,19,-0.9238783791586044,2809.0,3084463.0,18
False,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,True,False,True,False,False,1,-0.5557775018082439,170.0,3150058.0,19
False,False,True,True,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,True,False,18,-0.9100352791135256,2847.0,3213763.0,19
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,1,-0.8734918639447093,150.0,3279275.0,19
True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,1,-0.8734918639447093,130.0,3345611.0,19
True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,4,-0.9261656451526514,720.0,3412863.0,20
False,True,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,True,False,True,True,False,10,-0.9428966850559576,1241.0,3480368.0,20
False,False,True,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True,1,-0.8734918639447093,125.0,3548174.0,20
False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,1,-0.8184482311811985,144.0,3613060.0,20
True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,9,-0.9360212767595364,1396.0,3681832.0,21
True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,1,-0.8734918639447093,112.0,3748713.0,21
True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,True,True,False,True,True,True,False,True,True,True,9,-0.922824865041414,1316.0,3817884.0,21
True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,4,-0.928786942069282,696.0,3884716.0,21
False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,1,-0.7951443329642743,139.0,3950420.0,22
False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,True,True,False,True,False,True,11,-0.935183711892224,1626.0,4019526.0,22
True,False,True,True,False,True,False,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,8,-0.9527512795900536,1041.0,4088078.0,22
True,False,True,True,False,True,False,False,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,8,-0.9393763879270968,936.0,4156395.0,22
True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,12,-0.9538757501025732,2381.0,4225013.0,23
True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,8,-0.9574876440650576,1088.0,4294217.0,23
False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,8,-0.8994606431518605,1087.0,4362503.0,23
True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,11,-0.9235575382826756,1822.0,4431015.0,24
True,False,False,False,False,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,False,22,-0.9030615788496072,2865.0,4500341.0,24
False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,1,-0.7951443329642743,128.0,4568039.0,24
True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,13,-0.9461182329351734,1322.0,4635177.0,24
False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,False,46,-0.90284135867124,6763.0,4698642.0,25
True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,1,-0.8734918639447093,112.0,4763898.0,25
True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-0.8184482311811985,89.0,4829905.0,25
False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,False,True,True,16,-0.9355700553101626,1885.0,4899770.0,25
True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,11,-0.909406222928142,1482.0,4967311.0,26
True,False,True,True,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,False,True,True,1,-0.8734918639447093,127.0,5034712.0,26
True,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,16,-0.918427495887581,1850.0,5098759.0,26
True,False,True,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True,1,-0.8062286485747332,130.0,5165497.0,26
True,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,1,-0.7985027289542492,134.0,5232608.0,27
True,False,False,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,1,-0.8250605616479761,154.0,5299238.0,27
True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,1,-0.8250605616479761,134.0,5366328.0,27
False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,41,-0.9167353771005274,5531.0,5436843.0,27
True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,12,-0.9434874744705096,1379.0,5505977.0,28
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,-0.5557775018082439,138.0,5572257.0,28
